Anti-Malware Logs,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Summary,807 out of exported 807 entries are found and exported.,,,,,,,,,,,
Filter,,,,,,,,,,,,
Time,"2024-11-01 00:00:00 - 2024-12-01 23:59:59
",,,,,,,,,,,
Sort by time,Descending,,,,,,,,,,,
Endpoint,All,,,,,,,,,,,
IP Address,All,,,,,,,,,,,
Event Type,All,,,,,,,,,,,
Status,All,,,,,,,,,,,
Result,,,,,,,,,,,,
No.,Time Detected,Endpoint,IP Address,Type,Threat,Infected File,Time Created ,File MD5,Status,Time Fixed,Engine,Antivirus database version
1,2024-11-29 15:38:56,2F-PC-205,172.22.58.194,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:12,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-11-29 15:39:10,Sangfor Cloud-Based Antivirus Engine,20241126125034
2,2024-11-29 15:03:43,1F-PC-207,172.22.54.233,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:48,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:29,Gene Analysis Engine,20241126125034
3,2024-11-29 13:36:01,hpkkplazadb,172.22.36.13,Trojan,Trojan.Win32.Save.a,c:\windows\temp\onedrive.exe,2023-09-01 01:31:13,08B5889AF26C2C16AC90F99F5B36481C,Pending,2024-11-29 13:36:01,Sangfor Engine Zero,20241126125034
4,2024-11-29 13:36:01,hpkkplazadb,172.22.36.13,Trojan,Trojan.Win32.Save.a,c:\program files\google\chrome\updater.exe,2023-08-30 03:38:46,65E7F6E26F792FA94E8AF5371FD6331A,Pending,2024-11-29 13:36:01,Sangfor Engine Zero,20241126125034
5,2024-11-29 13:36:01,hpkkplazadb,172.22.36.13,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 06:18:22,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:33,Gene Analysis Engine,20241126125034
6,2024-11-29 13:30:09,5F-PC-054,172.22.68.92,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:29,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:32,Gene Analysis Engine,20241126125034
7,2024-11-29 13:25:23,2F-PC-071,172.22.57.146,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:40,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:27,Sangfor Cloud-Based Antivirus Engine,20241126125034
8,2024-11-29 13:21:46,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Save.a,c:\program files (x86)\common files\adobe\arm\1.0\armsvc.exe,2024-07-31 10:15:04,B2DD77DA74376DEF8B79BB72807E8E01,Fixed successfully.,2024-11-29 13:21:46,Sangfor Engine Zero,20180825222616
9,2024-11-29 13:21:46,GF-PC-080,172.22.59.145,Others,Suspicious.Win32.Save.a,c:\program files (x86)\medweb\plugin\mwipcserver.exe,2017-11-17 14:14:24,B02E5059D3FB9B9980554625BE3EB04D,Fixed successfully.,2024-11-29 13:21:46,Sangfor Engine Zero,20180825222616
